Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,B39871B4377P810,Filter,"FL1, FL2, FL3",,,3,Qualcomm,B39871B4377P810,Unknown,Digi-Key,B39871B4377P810CT-ND,1.29,3.87
,SX1303IMLTRT,Integrated Circuit,IC1,,,1,Semtech,SX1303IMLTRT,Unknown,Digi-Key,600-SX1303IMLTRTCT-ND,40.53,40.53
,MAX-M10S-00B,Integrated Circuit,IC3,,,1,u-blox,MAX-M10S-00B,Unknown,Digi-Key,672-MAX-M10S-00BCT-ND,21,21
,TPS62207DBVR,Integrated Circuit,IC4,,,1,Texas Instruments,TPS62207DBVR,Volume Production,Digi-Key,296-27027-1-ND,1.46,1.46
,SX1250IMLTRT,Integrated Circuit,"IC5, IC6",,,2,Semtech,SX1250IMLTRT,Unknown,Digi-Key,SX1250IMLTRTCT-ND,9.94,19.88
,M20-6102045,CONN STKTHRU PC/104 40POS PCB,J1,CMP-15831-000080-1,Up to date,1,Harwin,M20-6102045,Volume Production,Digi-Key,952-2219-ND,6.12,6.12
,SMA-J-P-H-ST-EM1,CONN SMA JACK STR 50OHM EDGE MNT,"J2, J3",CMP-02754-000006-1,Up to date,2,Samtec,SMA-J-P-H-ST-EM1,Volume Production,Digi-Key,SAM8857-ND,5.43,10.86
,LQG15HS27NJ02D,Multilayer type RF Inductor 27nH �5% 0.46O 350mA 0402,L1,CMP-2000-06578-2,Up to date,1,Murata,LQG15HS27NJ02D,Volume Production,Digi-Key,490-2628-1-ND,0.1,0.1
,74404032010,"WE-LQS SMD Power Inductor, L=1.0 �H",L2,CMP-1354-00014-1,Up to date,1,Wurth Electronics,74404032010,Volume Production,Digi-Key,732-5491-1-ND,1.16,1.16
,744053100,"SMD Shielded Tiny Power Inductor WE-TPC, L = 10.0 �H",L3,CMP-0227-00372-1,Up to date,1,Wurth Electronics,744053100,Volume Production,Digi-Key,732-1043-1-ND,1.56,1.56
,LQW18AN47NG00D,Wire Wound RF Inductor 47nH �2% 380mA 0.29O 0603 (1608),L4,CMP-06042-007966-1,Up to date,1,Murata,LQW18AN47NG00D,Unknown,Digi-Key,490-6894-1-ND,0.17,0.17
,LQW15AN2N5C00D,Wire Wound RF Inductor 2.5nH �0.2nH 850mA 0.05O 0402 (1005),L5,CMP-06042-011530-1,Up to date,1,Murata,LQW15AN2N5C00D,Volume Production,Digi-Key,490-6798-1-ND,0.17,0.17
,AISC-0603HP-4N7B-T,Unshielded Wirewound Inductor 4.7nH 0.2nH 1100mA 0.09O SMD,L6,CMP-27750-000266-1,Up to date,1,Abracon,AISC-0603HP-4N7B-T,Volume Production,Digi-Key,535-12235-1-ND,0.33,0.33
,LQW18AN12NG10D,Wire Wound RF Inductor 12nH �2% 750mA 0.071O 0603 (1608),"L7, L9",CMP-06042-003263-1,Up to date,2,Murata,LQW18AN12NG10D,Volume Production,Digi-Key,490-6862-1-ND,0.18,0.36
,CB2012T150K,SMD Inductors 15uH �10% 0.32A 1.69O 0805,"L8, L10",CMP-14484-000337-1,Up to date,2,Taiyo Yuden,CB2012T150K,Volume Production,Digi-Key,587-CB2012T150KCT-ND,0.22,0.44
,LQW18AN5N6G8ZD,Wire Wound RF Inductor for Automotive 5.6nH �2% 1900mA 0.04O 0603 (1608),"L11, L12",CMP-06042-011166-1,Up to date,2,Murata,LQW18AN5N6G8ZD,Unknown,Digi-Key,490-15723-1-ND,0.27,0.54
,LQW18AN6N8C10D,Wire Wound RF Inductor 6.8nH �0.2nH 900mA 0.045O 0603 (1608),L13,CMP-06042-010288-1,Up to date,1,Murata,LQW18AN6N8C10D,Volume Production,Digi-Key,490-6907-1-ND,0.18,0.18
,LQW2BAS3N0J00L,Wire Wound RF Inductor 3nH �5% 800mA 0.06O 0805 (2015),L14,CMP-06042-004142-1,Up to date,1,Murata,LQW2BAS3N0J00L,Volume Production,Digi-Key,490-5643-1-ND,0.46,0.46
,LQW18AN7N5D00D,Wire Wound RF Inductor 7.5nH �0.5nH 750mA 0.082O 0603 (1608),L15,CMP-06042-005951-1,Up to date,1,Murata,LQW18AN7N5D00D,Volume Production,Digi-Key,490-1166-1-ND,0.16,0.16
,LQG18HN1N2S00D,Multilayer type RF Inductor 1.2nH �0.3nH 0.1O 1100mA 0603,L16,CMP-06042-011517-1,Up to date,1,Murata,LQG18HN1N2S00D,Unknown,Digi-Key,490-1099-1-ND,0.19,0.19
,150080YS75000,"SMD mono-color Chip LED, WL-SMCW, Yellow",LED1,CMP-1426-00012-1,Up to date,1,Wurth Electronics,150080YS75000,Volume Production,Digi-Key,732-4987-1-ND,0.19,0.19
,LTST-C171GKT,LED GREEN CLEAR CHIP SMD,LED2,CMP-22017-000007-1,Up to date,1,Vishay Lite-On,LTST-C171GKT,Volume Production,Digi-Key,160-1423-1-ND,0.26,0.26
,LTST-C193TBKT-5A,LED BLUE CLEAR CHIP SMD,LED3,CMP-2000-06624-2,Up to date,1,Vishay Lite-On,LTST-C193TBKT-5A,Volume Production,Digi-Key,160-1827-1-ND,0.3,0.3
,LTST-C170KRKT,"LED Red, 75 mW, 54 mcd, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","LED4, LED5, LED6",CMP-2000-07593-1,Up to date,3,Vishay Lite-On,LTST-C170KRKT,Volume Production,Digi-Key,160-1415-1-ND,0.31,0.93
,TSW-103-07-T-S,"0.025"" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 3-Pin, Male, RoHS","P1, P2",CMP-1024-00332-1,Up to date,2,Samtec,TSW-103-07-T-S,Volume Production,Digi-Key,SAM1035-03-ND,0.34,0.68
